#TYPE Selected.System.Diagnostics.Process
"ProcessName","Path","Id"
"RadeonSoftware","C:\Program Files\AMD\CNext\CNext\Radeonsoftware.exe","12452"
"Registry",,"180"
"RtkNGUI64","C:\Program Files\Realtek\Audio\HDA\RtkNGUI64.exe","5064"
"rundll32","C:\WINDOWS\system32\rundll32.exe","2096"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","1628"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","7364"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","8628"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","8948"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","9776"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","11092"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","12116"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","12404"
"SearchApp","C:\Windows\SystemApps\Microsoft.Windows.Search_cw5n1h2txyewy\SearchApp.exe","6064"
"SearchApp","C:\Windows\SystemApps\Microsoft.Windows.Search_cw5n1h2txyewy\SearchApp.exe","8772"
"SearchIndexer","C:\WINDOWS\system32\SearchIndexer.exe","9076"
"Secure System",,"104"
"SecurityHealthService",,"9928"
"services",,"1052"
"SgrmBroker",,"11892"
"ShellExperienceHost","C:\WINDOWS\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe","10652"
"sihost","C:\WINDOWS\system32\sihost.exe","4424"
"smss",,"684"
"spoolsv","C:\WINDOWS\System32\spoolsv.exe","4600"
"StartMenuExperienceHost","C:\WINDOWS\SystemApps\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\StartMenuExperienceHost.exe","8532"
"steam","C:\Program Files (x86)\Steam\steam.exe","11260"
"SteamService","C:\Program Files (x86)\Common Files\Steam\SteamService.exe","11304"
"steamwebhelper","C:\Program Files (x86)\Steam\bin\cef\cef.win7x64\steamwebhelper.exe","7000"
"steamwebhelper","C:\Program Files (x86)\Steam\bin\cef\cef.win7x64\steamwebhelper.exe","8004"
"steamwebhelper","C:\Program Files (x86)\Steam\bin\cef\cef.win7x64\steamwebhelper.exe","10532"
"steamwebhelper","C:\Program Files (x86)\Steam\bin\cef\cef.win7x64\steamwebhelper.exe","11416"
"steamwebhelper","C:\Program Files (x86)\Steam\bin\cef\cef.win7x64\steamwebhelper.exe","14676"
"steamwebhelper","C:\Program Files (x86)\Steam\bin\cef\cef.win7x64\steamwebhelper.exe","14784"
"steamwebhelper","C:\Program Files (x86)\Steam\bin\cef\cef.win7x64\steamwebhelper.exe","14836"
"svchost","C:\WINDOWS\system32\svchost.exe","1232"
"svchost","C:\WINDOWS\system32\svchost.exe","1256"
"svchost","C:\WINDOWS\system32\svchost.exe","1408"
"svchost","C:\WINDOWS\system32\svchost.exe","1468"
"svchost","C:\WINDOWS\System32\svchost.exe","1528"
"svchost","C:\WINDOWS\system32\svchost.exe","1592"
"svchost","C:\WINDOWS\system32\svchost.exe","1676"
"svchost","C:\WINDOWS\System32\svchost.exe","1700"
"svchost","C:\WINDOWS\system32\svchost.exe","1720"
"svchost","C:\WINDOWS\system32\svchost.exe","1728"
"svchost","C:\WINDOWS\system32\svchost.exe","1736"
"svchost","C:\WINDOWS\System32\svchost.exe","1816"
"svchost","C:\WINDOWS\system32\svchost.exe","1828"
"svchost","C:\WINDOWS\system32\svchost.exe","1908"
"svchost","C:\WINDOWS\system32\svchost.exe","1988"
"svchost","C:\WINDOWS\system32\svchost.exe","2080"
"svchost","C:\WINDOWS\system32\svchost.exe","2224"
"svchost","C:\WINDOWS\system32\svchost.exe","2272"
"svchost","C:\WINDOWS\system32\svchost.exe","2340"
"svchost","C:\WINDOWS\system32\svchost.exe","2352"
"svchost","C:\WINDOWS\system32\svchost.exe","2384"
"svchost","C:\WINDOWS\system32\svchost.exe","2512"
"svchost","C:\WINDOWS\System32\svchost.exe","2536"
"svchost","C:\WINDOWS\system32\svchost.exe","2592"
"svchost","C:\WINDOWS\system32\svchost.exe","2616"
"svchost","C:\WINDOWS\system32\svchost.exe","2660"
"svchost","C:\WINDOWS\system32\svchost.exe","2672"
"svchost","C:\WINDOWS\System32\svchost.exe","2736"
"svchost","C:\WINDOWS\system32\svchost.exe","2784"
"svchost","C:\WINDOWS\system32\svchost.exe","2912"
"svchost","C:\WINDOWS\system32\svchost.exe","2936"
"svchost","C:\WINDOWS\System32\svchost.exe","3084"
"svchost","C:\WINDOWS\System32\svchost.exe","3140"
"svchost","C:\WINDOWS\system32\svchost.exe","3148"
"svchost","C:\WINDOWS\system32\svchost.exe","3276"
"svchost","C:\WINDOWS\system32\svchost.exe","3340"
"svchost","C:\WINDOWS\system32\svchost.exe","3360"
"svchost","C:\WINDOWS\system32\svchost.exe","3460"
"svchost","C:\WINDOWS\system32\svchost.exe","3516"
"svchost","C:\WINDOWS\System32\svchost.exe","3564"
"svchost","C:\WINDOWS\system32\svchost.exe","3708"
"svchost","C:\WINDOWS\System32\svchost.exe","3940"
"svchost","C:\WINDOWS\System32\svchost.exe","4380"
"svchost","C:\WINDOWS\system32\svchost.exe","4388"
"svchost","C:\WINDOWS\system32\svchost.exe","4508"
"svchost","C:\WINDOWS\System32\svchost.exe","4544"
"svchost","C:\WINDOWS\System32\svchost.exe","4724"
"svchost","C:\WINDOWS\System32\svchost.exe","4880"
"svchost","C:\WINDOWS\System32\svchost.exe","4888"
"svchost","C:\WINDOWS\system32\svchost.exe","4896"
"svchost","C:\WINDOWS\system32\svchost.exe","4912"
"svchost","C:\WINDOWS\System32\svchost.exe","4920"
"svchost","C:\WINDOWS\system32\svchost.exe","4952"
"svchost","C:\WINDOWS\System32\svchost.exe","4960"
"svchost","C:\WINDOWS\system32\svchost.exe","4988"
"svchost",,"5144"
"svchost","C:\WINDOWS\system32\svchost.exe","5180"
"svchost","C:\WINDOWS\system32\svchost.exe","5400"
"svchost","C:\WINDOWS\System32\svchost.exe","5620"
"svchost","C:\WINDOWS\System32\svchost.exe","5760"
"svchost","C:\WINDOWS\system32\svchost.exe","6392"
"svchost","C:\WINDOWS\system32\svchost.exe","6476"
"svchost","C:\WINDOWS\System32\svchost.exe","6824"
"svchost","C:\WINDOWS\system32\svchost.exe","6860"
"svchost","C:\WINDOWS\system32\svchost.exe","7480"
"svchost","C:\WINDOWS\system32\svchost.exe","7556"
"svchost","C:\WINDOWS\system32\svchost.exe","7728"
"svchost","C:\WINDOWS\system32\svchost.exe","7836"
"svchost","C:\WINDOWS\system32\svchost.exe","7908"
"svchost","C:\WINDOWS\System32\svchost.exe","8124"
"svchost","C:\WINDOWS\System32\svchost.exe","8204"
"svchost","C:\WINDOWS\system32\svchost.exe","8596"
"svchost",,"9100"
"svchost","C:\WINDOWS\system32\svchost.exe","9840"
"svchost","C:\WINDOWS\System32\svchost.exe","10300"
"svchost","C:\WINDOWS\system32\svchost.exe","10632"
"svchost","C:\WINDOWS\system32\svchost.exe","11052"
"svchost","C:\WINDOWS\System32\svchost.exe","11440"
"svchost","C:\WINDOWS\System32\svchost.exe","11756"
"svchost","C:\WINDOWS\System32\svchost.exe","12836"
"svchost","C:\WINDOWS\System32\svchost.exe","14340"
"svchost","C:\WINDOWS\system32\svchost.exe","15980"
"svchost","C:\WINDOWS\system32\svchost.exe","16984"
"svchost",,"20540"
"svchost","C:\WINDOWS\System32\svchost.exe","20632"
"svchost","C:\WINDOWS\System32\svchost.exe","21304"
"System",,"4"
"SystemSettings","C:\Windows\ImmersiveControlPanel\SystemSettings.exe","8972"
"taskhostw","C:\WINDOWS\system32\taskhostw.exe","5200"
"taskhostw","C:\WINDOWS\system32\taskhostw.exe","12048"
"Taskmgr","C:\WINDOWS\system32\taskmgr.exe","6728"
"TeamViewer_Service","C:\Program Files (x86)\TeamViewer\TeamViewer_Service.exe","2440"
"TextInputHost","C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\InputApp\TextInputHost.exe","4092"
"Unity Hub","C:\Program Files\Unity Hub\Unity Hub.exe","3756"
"Unity Hub","C:\Program Files\Unity Hub\Unity Hub.exe","11972"
"Unity Hub","C:\Program Files\Unity Hub\Unity Hub.exe","18324"
"uTorrent","C:\Users\Jefferson Steel Flex\AppData\Roaming\uTorrent\uTorrent.exe","4480"
"utorrentie","C:\Users\Jefferson Steel Flex\AppData\Roaming\uTorrent\updates\3.5.5_45966\utorrentie.exe","11172"
"utorrentie","C:\Users\Jefferson Steel Flex\AppData\Roaming\uTorrent\updates\3.5.5_45966\utorrentie.exe","17364"
"Video.UI","C:\Program Files\WindowsApps\Microsoft.ZuneVideo_10.20032.16211.0_x64__8wekyb3d8bbwe\Video.UI.exe","19784"
"vmcompute","C:\WINDOWS\system32\vmcompute.exe","4280"
"vmms","C:\WINDOWS\system32\vmms.exe","2560"
"vmnat","C:\WINDOWS\SysWOW64\vmnat.exe","4936"
"vmnetdhcp","C:\WINDOWS\SysWOW64\vmnetdhcp.exe","5020"
"vmware-authd","A:\VM Ware\vmware-authd.exe","5116"
"vmware-tray","A:\VM Ware\vmware-tray.exe","17856"
"vmware-usbarbitrator64","C:\Program Files (x86)\Common Files\VMware\USB\vmware-usbarbitrator64.exe","4972"
"wininit",,"924"
"winlogon","C:\WINDOWS\system32\winlogon.exe","1316"
"wlanext","C:\WINDOWS\system32\WLANExt.exe","6040"
"WmiPrvSE","C:\WINDOWS\system32\wbem\wmiprvse.exe","9428"
"WmiPrvSE","C:\WINDOWS\system32\wbem\wmiprvse.exe","10832"
"YourPhone","C:\Program Files\WindowsApps\Microsoft.YourPhone_1.20071.95.0_x64__8wekyb3d8bbwe\YourPhone.exe","10092"
"zerotier-one_x64","C:\ProgramData\ZeroTier\One\zerotier-one_x64.exe","5088"
